Timestamp	Email Address	Name	Workshop Batch 1 [First Choice]	Workshop Batch 1 [Second Choice]	Workshop Batch 1 [Third Choice]	Workshop Batch 1 [Fourth Choice]	Workshop Batch 1 [Fifth Choice]	Workshop Batch 1 [Sixth Choice]	Workshop Batch 2 [First Choice]	Workshop Batch 2 [Second Choice]	Workshop Batch 2 [Third Choice]	Workshop Batch 2 [Fourth Choice]	Workshop Batch 2 [Fifth Choice]	Workshop Batch 2 [Sixth Choice]	Workshop Batch 3 [First Choice]	Workshop Batch 3 [Second Choice]	Workshop Batch 3 [Third Choice]	Workshop Batch 3 [Fourth Choice]	Workshop Batch 3 [Fifth Choice]	Workshop Batch 3 [Sixth Choice]
07/23/2024 04:20:31	william.anderson@college.harvard.edu	William Anderson	Dana's Dancing	Joe's Clothes	Elyse's Energy	Texaco's Tunes	Zach's Wax	Avi's Art	Lollie's Trolly	AJ's Wordplay	Max's Music	Joy's Voice	Adam's Architecture	Em's Kin	Ria's Rave	Gabby's Great's	Priya's Party	Bimba's Limbo	Keren's Cartwheels	Crystal's Whistles
07/23/2024 04:50:31	william.smith@college.harvard.edu	William Smith	Texaco's Tunes	Dana's Dancing	Elyse's Energy	Avi's Art	Zach's Wax	Joe's Clothes	Lollie's Trolly	Max's Music	Joy's Voice	AJ's Wordplay	Adam's Architecture	Em's Kin	Crystal's Whistles	Gabby's Great's	Bimba's Limbo	Priya's Party	Keren's Cartwheels	Ria's Rave
07/23/2024 04:18:31	emma.anderson@college.harvard.edu	Emma Anderson	Avi's Art	Joe's Clothes	Zach's Wax	Elyse's Energy	Texaco's Tunes	Dana's Dancing	Adam's Architecture	Max's Music	Joy's Voice	Lollie's Trolly	Em's Kin	AJ's Wordplay	Gabby's Great's	Keren's Cartwheels	Priya's Party	Crystal's Whistles	Ria's Rave	Bimba's Limbo
07/23/2024 04:30:31	ethan.anderson@college.harvard.edu	Ethan Anderson	Joe's Clothes	Avi's Art	Elyse's Energy	Dana's Dancing	Zach's Wax	Texaco's Tunes	Lollie's Trolly	AJ's Wordplay	Max's Music	Adam's Architecture	Joy's Voice	Em's Kin	Priya's Party	Ria's Rave	Crystal's Whistles	Bimba's Limbo	Gabby's Great's	Keren's Cartwheels
07/23/2024 04:24:31	emma.johnson@college.harvard.edu	Emma Johnson	Zach's Wax	Joe's Clothes	Dana's Dancing	Texaco's Tunes	Avi's Art	Elyse's Energy	Adam's Architecture	Lollie's Trolly	Joy's Voice	Em's Kin	AJ's Wordplay	Max's Music	Ria's Rave	Crystal's Whistles	Keren's Cartwheels	Priya's Party	Gabby's Great's	Bimba's Limbo
07/23/2024 04:28:31	mason.jackson@college.harvard.edu	Mason Jackson	Elyse's Energy	Joe's Clothes	Zach's Wax	Texaco's Tunes	Avi's Art	Dana's Dancing	Lollie's Trolly	Adam's Architecture	Em's Kin	Max's Music	Joy's Voice	AJ's Wordplay	Bimba's Limbo	Keren's Cartwheels	Gabby's Great's	Ria's Rave	Priya's Party	Crystal's Whistles
07/23/2024 04:22:31	emma.jackson@college.harvard.edu	Emma Jackson	Texaco's Tunes	Elyse's Energy	Avi's Art	Dana's Dancing	Joe's Clothes	Zach's Wax	Joy's Voice	Adam's Architecture	Max's Music	Lollie's Trolly	AJ's Wordplay	Em's Kin	Bimba's Limbo	Ria's Rave	Crystal's Whistles	Priya's Party	Keren's Cartwheels	Gabby's Great's
07/23/2024 04:50:31	sophia.miller@college.harvard.edu	Sophia Miller	Texaco's Tunes	Dana's Dancing	Joe's Clothes	Elyse's Energy	Avi's Art	Zach's Wax	Joy's Voice	Lollie's Trolly	Em's Kin	Adam's Architecture	Max's Music	AJ's Wordplay	Crystal's Whistles	Gabby's Great's	Bimba's Limbo	Priya's Party	Ria's Rave	Keren's Cartwheels
07/23/2024 04:14:31	ava.brown@college.harvard.edu	Ava Brown	Joe's Clothes	Zach's Wax	Texaco's Tunes	Dana's Dancing	Avi's Art	Elyse's Energy	Lollie's Trolly	Em's Kin	Joy's Voice	Max's Music	Adam's Architecture	AJ's Wordplay	Crystal's Whistles	Ria's Rave	Gabby's Great's	Priya's Party	Keren's Cartwheels	Bimba's Limbo
07/23/2024 04:30:31	olivia.johnson@college.harvard.edu	Olivia Johnson	Joe's Clothes	Zach's Wax	Elyse's Energy	Dana's Dancing	Texaco's Tunes	Avi's Art	AJ's Wordplay	Lollie's Trolly	Max's Music	Joy's Voice	Adam's Architecture	Em's Kin	Priya's Party	Gabby's Great's	Crystal's Whistles	Keren's Cartwheels	Bimba's Limbo	Ria's Rave
07/23/2024 04:16:31	noah.jackson@college.harvard.edu	Noah Jackson	Zach's Wax	Avi's Art	Joe's Clothes	Dana's Dancing	Texaco's Tunes	Elyse's Energy	Lollie's Trolly	Max's Music	Adam's Architecture	Em's Kin	Joy's Voice	AJ's Wordplay	Gabby's Great's	Crystal's Whistles	Bimba's Limbo	Keren's Cartwheels	Priya's Party	Ria's Rave
07/23/2024 04:31:31	sophia.brown@college.harvard.edu	Sophia Brown	Texaco's Tunes	Elyse's Energy	Joe's Clothes	Dana's Dancing	Zach's Wax	Avi's Art	AJ's Wordplay	Max's Music	Em's Kin	Adam's Architecture	Lollie's Trolly	Joy's Voice	Priya's Party	Gabby's Great's	Ria's Rave	Keren's Cartwheels	Crystal's Whistles	Bimba's Limbo
