Name,Email,Day 1 Morning,Day 1 Afternoon,Day 2 Morning,Day 2 Afternoon,Day 3 Morning,Day 3 Afternoon
Ava Smith,ava.smith@college.harvard.edu,Zach's Wax (1),Dana's Dancing (2),Adam's Architecture (1),Lollie's Trolly (2),Gabby's Great's (1),Priya's Party (2)
Ava Moore,ava.moore@college.harvard.edu,Texaco's Tunes (1),Avi's Art (2),Em's Kin (1),Adam's Architecture (2),Crystal's Whistles (1),Bimba's Limbo (2)
Ethan Brown,ethan.brown@college.harvard.edu,Texaco's Tunes (1),Joe's Clothes (2),Max's Music (1),Em's Kin (2),Ria's Rave (1),Gabby's Great's (2)
Sophia Jackson,sophia.jackson@college.harvard.edu,Dana's Dancing (1),Texaco's Tunes (3),AJ's Wordplay (1),Lollie's Trolly (2),Priya's Party (1),Ria's Rave (2)
Olivia Moore,olivia.moore@college.harvard.edu,Avi's Art (1),Texaco's Tunes (2),Joy's Voice (1),Max's Music (2),Keren's Cartwheels (1),Ria's Rave (2)
Mason Miller,mason.miller@college.harvard.edu,Elyse's Energy (1),Texaco's Tunes (2),AJ's Wordplay (2),Em's Kin (1),Priya's Party (1),Ria's Rave (2)
Liam Taylor,liam.taylor@college.harvard.edu,Avi's Art (2),Dana's Dancing (1),Adam's Architecture (1),AJ's Wordplay (2),Keren's Cartwheels (1),Crystal's Whistles (2)
Ethan Moore,ethan.moore@college.harvard.edu,Joe's Clothes (1),Avi's Art (2),Max's Music (1),Adam's Architecture (2),Ria's Rave (1),Gabby's Great's (2)
Ava Brown,ava.brown@college.harvard.edu,Joe's Clothes (1),Zach's Wax (2),Lollie's Trolly (1),Em's Kin (2),Crystal's Whistles (1),Ria's Rave (2)
Olivia Miller,olivia.miller@college.harvard.edu,Avi's Art (1),Joe's Clothes (2),Em's Kin (1),Joy's Voice (2),Gabby's Great's (1),Keren's Cartwheels (2)
Sophia Thomas,sophia.thomas@college.harvard.edu,Elyse's Energy (6),Dana's Dancing (4),Max's Music (1),Joy's Voice (2),Bimba's Limbo (1),Crystal's Whistles (2)
Sophia Miller,sophia.miller@college.harvard.edu,Texaco's Tunes (1),Dana's Dancing (2),Joy's Voice (1),Lollie's Trolly (2),Crystal's Whistles (1),Gabby's Great's (2)
William Jackson,william.jackson@college.harvard.edu,Texaco's Tunes (1),Joe's Clothes (2),Em's Kin (1),Joy's Voice (2),Gabby's Great's (1),Keren's Cartwheels (2)
Isabella Thomas,isabella.thomas@college.harvard.edu,Avi's Art (1),Dana's Dancing (2),Lollie's Trolly (1),Max's Music (2),Priya's Party (1),Ria's Rave (2)
Mason Jackson,mason.jackson@college.harvard.edu,Zach's Wax (1),Texaco's Tunes (2),Adam's Architecture (1),Em's Kin (2),Bimba's Limbo (1),Gabby's Great's (2)
Emma Brown,emma.brown@college.harvard.edu,Elyse's Energy (1),Dana's Dancing (2),Adam's Architecture (1),Em's Kin (2),Ria's Rave (1),Crystal's Whistles (2)
Mason Moore,mason.moore@college.harvard.edu,Joe's Clothes (2),Texaco's Tunes (1),Em's Kin (1),AJ's Wordplay (2),Priya's Party (1),Crystal's Whistles (2)
Mason Brown,mason.brown@college.harvard.edu,Joe's Clothes (1),Texaco's Tunes (3),Max's Music (1),Lollie's Trolly (2),Ria's Rave (1),Gabby's Great's (2)
Liam Smith,liam.smith@college.harvard.edu,Zach's Wax (1),Avi's Art (2),Lollie's Trolly (1),AJ's Wordplay (2),Keren's Cartwheels (1),Bimba's Limbo (2)
Ava Brown,ava.brown@college.harvard.edu,Dana's Dancing (2),Elyse's Energy (6),AJ's Wordplay (1),Adam's Architecture (2),Ria's Rave (1),Keren's Cartwheels (2)
Ethan Anderson,ethan.anderson@college.harvard.edu,Elyse's Energy (1),Dana's Dancing (2),Joy's Voice (1),Em's Kin (2),Gabby's Great's (1),Crystal's Whistles (2)
Ethan Taylor,ethan.taylor@college.harvard.edu,Joe's Clothes (1),Texaco's Tunes (2),Lollie's Trolly (1),Max's Music (2),Priya's Party (1),Bimba's Limbo (2)
Emma Thomas,emma.thomas@college.harvard.edu,Zach's Wax (2),Texaco's Tunes (1),AJ's Wordplay (1),Lollie's Trolly (2),Bimba's Limbo (1),Ria's Rave (2)
Olivia Jackson,olivia.jackson@college.harvard.edu,Joe's Clothes (1),Zach's Wax (2),Max's Music (1),Joy's Voice (2),Bimba's Limbo (1),Priya's Party (2)
Sophia Miller,sophia.miller@college.harvard.edu,Avi's Art (1),Zach's Wax (2),Adam's Architecture (1),Joy's Voice (3),Crystal's Whistles (1),Keren's Cartwheels (2)
Isabella Jackson,isabella.jackson@college.harvard.edu,Avi's Art (1),Joe's Clothes (2),Max's Music (1),Em's Kin (2),Ria's Rave (1),Crystal's Whistles (2)
Liam Jackson,liam.jackson@college.harvard.edu,Avi's Art (1),Joe's Clothes (2),Max's Music (4),Adam's Architecture (1),Bimba's Limbo (1),Ria's Rave (2)
Emma Smith,emma.smith@college.harvard.edu,Dana's Dancing (1),Zach's Wax (2),Joy's Voice (1),AJ's Wordplay (2),Crystal's Whistles (1),Ria's Rave (2)
Noah Moore,noah.moore@college.harvard.edu,Elyse's Energy (1),Avi's Art (2),Max's Music (2),Joy's Voice (1),Crystal's Whistles (1),Ria's Rave (2)
William Anderson,william.anderson@college.harvard.edu,Dana's Dancing (1),Elyse's Energy (3),Lollie's Trolly (1),AJ's Wordplay (2),Ria's Rave (1),Gabby's Great's (2)
Isabella Smith,isabella.smith@college.harvard.edu,Zach's Wax (1),Texaco's Tunes (2),Lollie's Trolly (2),Em's Kin (1),Ria's Rave (1),Priya's Party (2)
Emma Jackson,emma.jackson@college.harvard.edu,Texaco's Tunes (1),Elyse's Energy (2),Joy's Voice (1),Adam's Architecture (2),Bimba's Limbo (1),Ria's Rave (2)
Ethan Wilson,ethan.wilson@college.harvard.edu,Texaco's Tunes (1),Joe's Clothes (2),Joy's Voice (1),Max's Music (2),Crystal's Whistles (1),Gabby's Great's (2)
Ava Thomas,ava.thomas@college.harvard.edu,Zach's Wax (1),Avi's Art (2),Joy's Voice (1),Lollie's Trolly (2),Keren's Cartwheels (1),Ria's Rave (2)
William Jackson,william.jackson@college.harvard.edu,Avi's Art (1),Joe's Clothes (2),Joy's Voice (1),AJ's Wordplay (2),Keren's Cartwheels (1),Priya's Party (2)
Mason Jackson,mason.jackson@college.harvard.edu,Zach's Wax (1),Dana's Dancing (2),AJ's Wordplay (1),Em's Kin (2),Keren's Cartwheels (1),Ria's Rave (2)
Emma Johnson,emma.johnson@college.harvard.edu,Zach's Wax (1),Joe's Clothes (2),Adam's Architecture (1),Lollie's Trolly (2),Ria's Rave (1),Crystal's Whistles (2)
Ethan Anderson,ethan.anderson@college.harvard.edu,Joe's Clothes (1),Avi's Art (2),Lollie's Trolly (1),AJ's Wordplay (2),Priya's Party (1),Ria's Rave (2)
Noah Wilson,noah.wilson@college.harvard.edu,Avi's Art (1),Dana's Dancing (2),Adam's Architecture (1),Lollie's Trolly (2),Crystal's Whistles (1),Gabby's Great's (2)
Sophia Smith,sophia.smith@college.harvard.edu,Zach's Wax (1),Elyse's Energy (2),Lollie's Trolly (2),AJ's Wordplay (3),Bimba's Limbo (1),Ria's Rave (2)
Noah Jackson,noah.jackson@college.harvard.edu,Zach's Wax (1),Avi's Art (2),Lollie's Trolly (1),Max's Music (2),Gabby's Great's (1),Crystal's Whistles (2)
Emma Miller,emma.miller@college.harvard.edu,Texaco's Tunes (1),Avi's Art (2),Em's Kin (1),Adam's Architecture (2),Gabby's Great's (1),Crystal's Whistles (2)
Olivia Brown,olivia.brown@college.harvard.edu,Dana's Dancing (1),Joe's Clothes (2),Lollie's Trolly (1),Em's Kin (2),Priya's Party (1),Keren's Cartwheels (2)
Ava Brown,ava.brown@college.harvard.edu,Texaco's Tunes (1),Joe's Clothes (2),AJ's Wordplay (1),Joy's Voice (2),Bimba's Limbo (1),Keren's Cartwheels (2)
Ethan Taylor,ethan.taylor@college.harvard.edu,Joe's Clothes (1),Zach's Wax (2),Em's Kin (1),Max's Music (2),Bimba's Limbo (1),Crystal's Whistles (2)
Noah Taylor,noah.taylor@college.harvard.edu,Texaco's Tunes (1),Dana's Dancing (2),Adam's Architecture (1),Lollie's Trolly (2),Keren's Cartwheels (1),Bimba's Limbo (2)
Noah Jackson,noah.jackson@college.harvard.edu,Texaco's Tunes (1),Zach's Wax (2),Em's Kin (1),Joy's Voice (2),Priya's Party (1),Bimba's Limbo (2)
Isabella Thomas,isabella.thomas@college.harvard.edu,Texaco's Tunes (1),Zach's Wax (2),Em's Kin (1),AJ's Wordplay (2),Bimba's Limbo (1),Crystal's Whistles (2)
Ethan Miller,ethan.miller@college.harvard.edu,Dana's Dancing (1),Zach's Wax (2),Joy's Voice (1),AJ's Wordplay (2),Keren's Cartwheels (1),Ria's Rave (2)
Isabella Johnson,isabella.johnson@college.harvard.edu,Joe's Clothes (1),Avi's Art (2),Max's Music (2),Lollie's Trolly (3),Ria's Rave (1),Bimba's Limbo (2)
Mason Brown,mason.brown@college.harvard.edu,Dana's Dancing (1),Texaco's Tunes (2),Em's Kin (1),Adam's Architecture (2),Bimba's Limbo (1),Gabby's Great's (2)
William Taylor,william.taylor@college.harvard.edu,Joe's Clothes (1),Texaco's Tunes (2),Em's Kin (1),AJ's Wordplay (2),Priya's Party (1),Gabby's Great's (2)
Sophia Wilson,sophia.wilson@college.harvard.edu,Elyse's Energy (1),Joe's Clothes (2),Joy's Voice (1),Max's Music (2),Bimba's Limbo (1),Ria's Rave (2)
Liam Taylor,liam.taylor@college.harvard.edu,Zach's Wax (1),Joe's Clothes (2),Adam's Architecture (2),Em's Kin (1),Crystal's Whistles (1),Keren's Cartwheels (2)
William Taylor,william.taylor@college.harvard.edu,Dana's Dancing (1),Joe's Clothes (2),Joy's Voice (1),AJ's Wordplay (2),Bimba's Limbo (1),Priya's Party (2)
William Wilson,william.wilson@college.harvard.edu,Elyse's Energy (1),Avi's Art (2),AJ's Wordplay (2),Lollie's Trolly (3),Priya's Party (1),Gabby's Great's (2)
Noah Moore,noah.moore@college.harvard.edu,Zach's Wax (1),Dana's Dancing (2),Adam's Architecture (1),Lollie's Trolly (2),Ria's Rave (1),Gabby's Great's (2)
Noah Brown,noah.brown@college.harvard.edu,Elyse's Energy (1),Dana's Dancing (2),Joy's Voice (1),Max's Music (2),Priya's Party (1),Keren's Cartwheels (2)
Noah Jackson,noah.jackson@college.harvard.edu,Texaco's Tunes (1),Dana's Dancing (2),Lollie's Trolly (1),Adam's Architecture (4),Keren's Cartwheels (1),Gabby's Great's (2)
Noah Johnson,noah.johnson@college.harvard.edu,Joe's Clothes (1),Avi's Art (2),Lollie's Trolly (1),Joy's Voice (2),Keren's Cartwheels (1),Crystal's Whistles (2)
Ethan Miller,ethan.miller@college.harvard.edu,Elyse's Energy (1),Zach's Wax (2),Joy's Voice (1),Lollie's Trolly (2),Ria's Rave (1),Priya's Party (2)
Mason Anderson,mason.anderson@college.harvard.edu,Avi's Art (1),Elyse's Energy (2),AJ's Wordplay (1),Em's Kin (2),Priya's Party (1),Keren's Cartwheels (2)
Liam Johnson,liam.johnson@college.harvard.edu,Elyse's Energy (4),Unassigned,AJ's Wordplay (1),Em's Kin (2),Bimba's Limbo (1),Gabby's Great's (2)
Olivia Moore,olivia.moore@college.harvard.edu,Joe's Clothes (1),Avi's Art (2),AJ's Wordplay (1),Joy's Voice (2),Keren's Cartwheels (1),Priya's Party (2)
Liam Taylor,liam.taylor@college.harvard.edu,Dana's Dancing (1),Zach's Wax (2),AJ's Wordplay (1),Max's Music (2),Gabby's Great's (1),Bimba's Limbo (2)
Noah Wilson,noah.wilson@college.harvard.edu,Zach's Wax (1),Joe's Clothes (2),Em's Kin (1),Max's Music (2),Bimba's Limbo (1),Ria's Rave (2)
William Moore,william.moore@college.harvard.edu,Dana's Dancing (3),Elyse's Energy (4),Adam's Architecture (1),Lollie's Trolly (2),Gabby's Great's (1),Priya's Party (3)
Isabella Jackson,isabella.jackson@college.harvard.edu,Zach's Wax (1),Elyse's Energy (2),AJ's Wordplay (1),Adam's Architecture (2),Crystal's Whistles (1),Priya's Party (3)
Mason Anderson,mason.anderson@college.harvard.edu,Texaco's Tunes (1),Zach's Wax (2),Adam's Architecture (1),Max's Music (2),Keren's Cartwheels (1),Gabby's Great's (2)
Olivia Moore,olivia.moore@college.harvard.edu,Zach's Wax (1),Texaco's Tunes (2),Max's Music (1),Adam's Architecture (2),Priya's Party (1),Keren's Cartwheels (3)
Noah Jackson,noah.jackson@college.harvard.edu,Texaco's Tunes (1),Zach's Wax (2),AJ's Wordplay (1),Adam's Architecture (2),Bimba's Limbo (1),Gabby's Great's (2)
Olivia Johnson,olivia.johnson@college.harvard.edu,Elyse's Energy (3),Dana's Dancing (4),AJ's Wordplay (1),Lollie's Trolly (2),Priya's Party (1),Gabby's Great's (2)
